Ticker,Pearl Score,EPS,PE
AAPL,0.27,8.31,30.359806
MSFT,0.44,14.95,34.35318
KO,0.13,2.97,23.043772
PG,0.36,7.42,20.404312
LMT,1.6,28.11,17.614727
TSLA,0.02,3.24,135.58951
AMZN,0.18,6.15,34.640648
JNJ,0.58,10.6,18.228302
NOC,1.32,28.06,21.186743
NVDA,0.09,4.12,44.470875
META,0.89,25.3,28.336561
GOOGL,0.32,8.96,28.27009
NFLX,0.47,23.78,50.435658
PEP,0.48,8.63,17.811125
COST,0.41,19.68,47.577744
WMT,0.07,2.72,39.606617
HD,0.62,15.6,25.121794
LOW,0.65,12.63,19.374504
UNH,2.51,29.9,11.926422
CVS,0.51,6.48,12.734568
PFE,0.35,2.93,8.365188
MRK,1.04,9.4,9.020213
ABBV,0.64,12.13,18.925804
LLY,0.64,22.66,35.429394
RTX,0.24,6.11,25.851063
BA,0.0,0.47,453.06384
XOM,0.55,7.87,14.261753
CVX,0.8,11.04,13.865942
COP,0.75,8.03,10.769615
SLB,0.41,3.67,8.891008
OXY,0.24,3.16,12.943038
JPM,0.94,16.74,17.775389
BAC,0.26,3.66,14.010928
GS,2.3,41.56,18.064726
MS,0.4,7.93,20.008827
USB,0.41,4.33,10.551963
T,0.19,2.24,11.758928
VZ,0.55,4.73,8.572939
TMUS,0.5,10.67,21.492971
NEE,0.16,3.68,22.970108
DUK,0.31,6.34,20.27287
SO,0.19,4.32,22.63889
EXC,0.14,2.63,18.1673
SBUX,0.16,3.72,22.946236
MCD,0.52,12.61,24.432198
YUM,0.25,6.08,23.889803
DPZ,0.75,17.64,23.597507
